URL,Score,Performance,Accessibility,Best Practices,SEO,FCP,LCP,CLS,FID,TBT,SI,Color Contrast,Headings,Labels,Image Alts,Link Names,Errors,Inspector Issues,Images Responsive,Image Aspect Ratio,Indexable
"/",82,56,93,78,100,3781.91,13756.91,0,16,0,4585.08,0,1,1,1,1,1,0,1,1,1
"/about-menifee/",80,56,93,78,92,3304.67,11741.58,0.01,16,0,4916.01,0,1,1,1,1,1,0,1,1,1
"/accessibility-statement/",80,56,93,78,92,3633.74,10163.74,0.01,16,0,4887.12,0,1,1,1,1,1,0,1,1,1
"/contact-us/",79,55,90,78,92,4692.44,14794.22,0,26,0,4776.46,0,1,1,1,1,1,0,1,1,1
"/cultural-arts-history/",80,56,93,78,92,3645.8,11529.68,0.01,27,0,4823.04,0,1,1,1,1,1,0,1,1,1
"/dining-nightlife/",80,56,93,78,92,3295.6,12039.47,0,20,0,5441.66,0,1,1,1,1,1,0,1,1,1
"/dining-nightlife/nightlife/",80,56,93,78,92,3504.35,11372.86,0.01,21,0,5048.66,0,1,1,1,1,1,0,1,1,1
"/dining-nightlife/restaurants/",80,56,93,78,92,4088.74,11600.3,0.01,23,0,4088.74,0,1,1,1,1,1,0,1,1,1
"/event/family-camp-out/",80,56,93,78,92,3258.39,12911.73,0,21,0,5140.75,0,1,1,1,1,1,0,1,1,1
"/event/foodie-fridays-2/",80,55,93,78,92,5082.97,14631.53,0,16,0,5237.97,0,1,1,1,1,1,0,1,1,1
"/event/foodie-fridays-3/2024-03-01/",80,55,93,78,92,5334.51,13737.01,0,16,0,5646.52,0,1,1,1,1,1,0,1,1,1
"/event/foodie-fridays/2022-07-01/",80,55,93,78,92,4922.87,13935.68,0,24,0,5124.93,0,1,1,1,1,1,0,1,1,1
"/event/foodie-fridays/2022-08-05/",80,55,93,78,92,5116.16,13259.43,0,23,0,5430.75,0,1,1,1,1,1,0,1,1,1
"/event/foodie-fridays/2022-09-02/",80,55,93,78,92,5018.53,15002.5,0,23,0,5018.53,0,1,1,1,1,1,0,1,1,1
"/event/foodie-fridays/2022-10-07/",80,55,93,78,92,5101.83,14717.76,0,25,0,5251.32,0,1,1,1,1,1,0,1,1,1
"/event/independence-day-celebration/",80,55,93,78,92,5112.3,15000.49,0.01,17,0,5112.3,0,1,1,1,1,1,0,1,1,1
"/event/menifee-fall-festival/",80,55,93,78,92,5092.83,14188.46,0,16,0,5702.6,0,1,1,1,1,1,0,1,1,1
"/event/menifee-foodie-fridays-2/",79,54,93,78,92,5058.18,14691.26,0.08,27,0,5058.18,0,1,1,1,1,1,0,1,1,1
"/event/menifee-foodie-fridays/2025-05-02/",78,54,93,74,92,5215.63,16763.13,0.08,28,0,5215.63,0,1,1,1,1,0,0,1,1,1
"/event/menifee-movie-in-the-park/",80,55,93,78,92,5099.31,19764.02,0.02,16,0,5216.38,0,1,1,1,1,1,0,1,1,1
"/event/menifee-night-storm-stadium/",80,55,93,78,92,4820.03,14095.34,0,27,0,4820.03,0,1,1,1,1,1,0,1,1,1
"/event/menifee-park-ranger-camp-fire-program/2022-07-07/",80,55,93,78,92,5073.76,14354.99,0.01,23,0,5073.76,0,1,1,1,1,1,0,1,1,1
"/event/menifee-park-ranger-camp-fire-program/2022-07-21/",80,55,93,78,92,5143.68,14497.75,0.01,25,0,5143.68,0,1,1,1,1,1,0,1,1,1
"/event/menifee-park-ranger-camp-fire-program/2022-08-04/",80,55,93,78,92,4967.59,14544.15,0,28,0,4967.59,0,1,1,1,1,1,0,1,1,1
"/event/menifee-trading-post-night-market/2022-09-16/",80,55,93,78,92,5054.61,15080.2,0,21,0,5217.49,0,1,1,1,1,1,0,1,1,1
"/event/menifee-trading-post-night-market/2022-10-21/",80,55,93,78,92,4978.72,15804.16,0,21,0,4978.72,0,1,1,1,1,1,0,1,1,1
"/event/menifee-trading-post-night-market/2022-11-18/",80,55,93,78,92,4932.08,14329.24,0,21,0,4932.08,0,1,1,1,1,1,0,1,1,1
"/event/moonlight-markets/2022-06-17/",80,56,93,78,92,4575.24,13599.46,0,17,0,4575.24,0,1,1,1,1,1,0,1,1,1
"/event/moonlight-markets/2022-07-15/",80,56,93,78,92,3377.85,11683.63,0,23,0,4514.36,0,1,1,1,1,1,0,1,1,1
"/event/moonlight-markets/2022-07-29/",80,55,93,78,92,5123.42,16598.83,0,18,0,5126.98,0,1,1,1,1,1,0,1,1,1
"/event/sun-city-farmers-market/2022-07-09/",80,55,93,78,92,5071.98,14257.68,0,28,0,5071.98,0,1,1,1,1,1,0,1,1,1
"/event/the-menifee-trading-post/2022-06-17/",78,53,90,78,92,5079.62,14608.92,0.1,23,0,5079.62,0,1,1,1,1,1,0,1,1,1
"/event/wall-that-heals/",80,55,93,78,92,5094.48,12750.42,0,27,0,5094.48,0,1,1,1,1,1,0,1,1,1
"/events/",78,56,93,78,85,4478.31,15203.3,0.03,27,0,4478.31,0,1,1,1,1,1,0,1,1,1
"/foodiefridays/",80,56,93,78,92,3622.06,8908.27,0,16,0,4010.33,0,1,1,1,1,1,0,1,1,1
"/hotels-lodging/",80,57,93,78,92,3143.68,11911.48,0,25,0,3915.76,0,1,1,1,1,1,0,1,1,1
